data,selic,selic_lag1,selic_lag2,pib_hiato,pib_hiato_lag1,inflacao_hiato
2004-01-01,16.5,17.5,19.0,-1.0976571878777652,-2.2764165348789556,1.4034999999999993
2004-02-01,16.5,16.5,17.5,-0.31332220774997754,-1.0976571878777652,1.1466666666666665
2004-03-01,16.5,16.5,16.5,0.8517652673620368,-0.31332220774997754,0.9204347826086954
2004-04-01,16.25,16.5,16.5,1.0577176143377054,0.8517652673620368,1.0185000000000004
2004-05-01,16.0,16.25,16.5,0.30848291248921633,1.0577176143377054,1.1790476190476191
2004-06-01,16.0,16.0,16.25,-0.5298350934555884,0.30848291248921633,1.5204761904761899
2004-07-01,16.0,16.0,16.0,-1.2610360893881123,-0.5298350934555884,1.6845454545454546
2004-08-01,16.0,16.0,16.0,-1.6371382550131375,-1.2610360893881123,1.6872727272727275
2004-09-01,16.0,16.0,16.0,-2.2214223475161665,-1.6371382550131375,1.7076190476190485
2004-10-01,16.25,16.0,16.0,-3.0531953856887784,-2.2214223475161665,1.697
2004-11-01,16.75,16.25,16.0,-3.2109020228640373,-3.0531953856887784,1.6568421052631583
2004-12-01,17.25,16.75,16.25,-3.1586225346318275,-3.2109020228640373,1.4333333333333327
2005-01-01,17.75,17.25,16.75,-3.5832518942436886,-3.1586225346318275,1.1933333333333334
2005-02-01,18.25,17.75,17.25,-3.634367342444389,-3.5832518942436886,1.038333333333333
2005-03-01,18.75,18.25,17.75,-4.129327519452852,-3.634367342444389,0.956818181818182
2005-04-01,19.25,18.75,18.25,-4.186402395346212,-4.129327519452852,0.9790000000000001
2005-05-01,19.5,19.25,18.75,-3.4251532512173277,-4.186402395346212,0.9090476190476195
2005-06-01,19.75,19.5,19.25,-2.569905785294413,-3.4251532512173277,0.6022727272727275
2005-07-01,19.75,19.75,19.5,-1.9647189193203074,-2.569905785294413,0.5066666666666668
2005-08-01,19.75,19.75,19.75,-1.1897667260911904,-1.9647189193203074,0.43304347826086964
2005-09-01,19.75,19.75,19.75,-0.6289298551405142,-1.1897667260911904,0.28904761904761855
2005-10-01,19.5,19.75,19.75,0.1577023405548328,-0.6289298551405142,0.18849999999999945
2005-11-01,19.0,19.5,19.75,0.9497567675354146,0.1577023405548328,0.13399999999999945
2005-12-01,18.5,19.0,19.5,1.2041826820774926,0.9497567675354146,0.018636363636363562
2006-01-01,18.0,18.5,19.0,1.3493199229009711,1.2041826820774926,0.06863636363636427
2006-02-01,17.25,18.0,18.5,1.5178961039995498,1.3493199229009711,-0.006111111111111178
2006-03-01,17.25,17.25,18.0,2.1725458636741246,1.5178961039995498,-0.1365217391304352
2006-04-01,16.5,17.25,17.25,2.220161733326109,2.1725458636741246,-0.306111111111111
2006-05-01,15.75,16.5,17.25,2.1549317684280034,2.220161733326109,-0.31590909090909136
2006-06-01,15.25,15.75,16.5,1.4338772087298723,2.1549317684280034,-0.2519047619047612
2006-07-01,15.25,15.25,15.75,1.140498636167897,1.4338772087298723,-0.09904761904761905
2006-08-01,14.75,15.25,15.25,0.9737227230571799,1.140498636167897,-0.010434782608695237
2006-09-01,14.25,14.75,15.25,0.4758139460725008,0.9737227230571799,-0.21799999999999997
2006-10-01,14.25,14.25,14.75,0.17182830934301396,0.4758139460725008,-0.43476190476190446
2006-11-01,13.75,14.25,14.25,-0.40526490072384513,0.17182830934301396,-0.37400000000000055
2006-12-01,13.25,13.75,14.25,-0.7982215666034853,-0.40526490072384513,-0.3689999999999998
2007-01-01,13.25,13.25,13.75,-1.1116318389238766,-0.7982215666034853,-0.47409090909090956
2007-02-01,13.0,13.25,13.25,-1.6478640132313371,-1.1116318389238766,-0.6011111111111109
2007-03-01,13.0,13.0,13.25,-2.0425993100767204,-1.6478640132313371,-0.7290909090909095
2007-04-01,12.75,13.0,13.0,-2.177570838283416,-2.0425993100767204,-0.8929999999999998
2007-05-01,12.5,12.75,13.0,-1.966183427257151,-2.177570838283416,-1.0672727272727274
2007-06-01,12.5,12.5,12.75,-1.3035499805333695,-1.966183427257151,-1.0335
2007-07-01,12.0,12.5,12.5,-0.6602402575938915,-1.3035499805333695,-0.9331818181818181
2007-08-01,11.5,12.0,12.5,-0.6367918075104728,-0.6602402575938915,-0.8182608695652172
2007-09-01,11.5,11.5,12.0,-0.4220205562028734,-0.6367918075104728,-0.7205263157894737
2007-10-01,11.25,11.5,11.5,0.5037460580946451,-0.4220205562028734,-0.6722727272727274
2007-11-01,11.25,11.25,11.5,1.4401116570706751,0.5037460580946451,-0.5979999999999999
2007-12-01,11.25,11.25,11.25,2.183401923468953,1.4401116570706751,-0.35050000000000026
2008-01-01,11.25,11.25,11.25,3.0399560231758604,2.183401923468953,-0.20590909090909104
2008-02-01,11.25,11.25,11.25,4.124444542294992,3.0399560231758604,-0.24526315789473685
2008-03-01,11.25,11.25,11.25,5.161584230615235,4.124444542294992,-0.1955
2008-04-01,11.25,11.25,11.25,6.4651041271814425,5.161584230615235,-0.11857142857142833
